# Fotometría NGC 1261 Kravtsov+2010
#
# bs = candidatas a blue stragglers
#
# Xpos   Ypos    Vmag     U-B     B-V     V-I   bs
# pix     pix     mag     mag     mag     mag   
#  
1200.8  1123.8  16.733   0.063   0.623   0.753  99
1051.7  1071.1  16.734   0.049   0.612   0.764  99
1011.2  1113.1  16.734   0.042   0.574   0.742  99
 992.2  1300.6  16.734   0.279   0.782   0.880  99
1332.8   606.3  16.734   0.198   0.824   0.927  99
1781.7  1622.3  16.735  -0.068   0.586   0.723  99
1251.1  1194.9  16.735   0.020   0.467   0.596  99
1210.3   903.9  16.736   0.092   0.153   0.142  99
 712.3   544.5  16.737  -0.069   0.592   0.739  99
1385.8  1185.3  16.739   0.051   0.630   0.751  99
 797.9   753.5  16.740  -0.056   0.592   0.731  99
1145.5  1094.4  16.741   0.009   0.567   0.685  99
1214.2   846.0  16.742   0.028   0.614   0.746  99
1000.4   906.3  16.742  -0.048   0.545   0.678  99
 977.9  1163.9  16.742   0.277   0.809   0.919  99
1120.0  1202.9  16.743  99.999   0.809   0.905  99
1258.6  1143.6  16.744   0.070   0.615   0.741  99
1061.8  1201.7  16.744   0.039   0.575   0.732  99
1110.7  1122.7  16.745   0.009   0.457   0.577  99
1211.2  1257.2  16.745   0.052   0.597   0.738  99
1140.0  1065.4  16.745   0.039   0.502   0.637  99
 930.6  1353.4  16.746  -0.024   0.576   0.749  99
1022.4  1160.1  16.746   0.013   0.535   0.690  99
1027.9   830.5  16.746  -0.023   0.556   0.699  99
1150.1  1362.6  16.747   0.034   0.571   0.754  99
1473.9   901.4  16.747   0.007   0.604   0.724  99
1060.7  1214.1  16.747   0.096   0.607   0.765  99
1094.3  1260.6  16.749  -0.004   0.524   0.657  99
1107.4  1024.9  16.749   0.108   0.138   0.154  99
 806.5  1168.7  16.750  -0.017   0.611   0.767  99
 998.9   982.5  16.750  -0.004   0.620   0.756  99
1194.9  1319.6  16.751   0.022   0.379   0.488  99
 966.3  1211.5  16.752  -0.012   0.473   0.615  99
 986.5  1165.7  16.754   0.047   0.634   0.775  99
1120.9  1195.6  16.754   0.037   0.623   0.742  99
1404.7  1208.6  16.755   0.005   0.539   0.663  99
 993.7  1234.2  16.755   0.266   0.831   0.941  99
1109.7   949.2  16.756   0.265   0.818   0.896  99
1058.2  1145.9  16.756  99.999  99.999   0.826  99
1005.7   328.8  16.757  -0.084   0.618   0.741  99
1255.7  1134.4  16.761   0.101   0.104   0.108  99
1050.0  1214.5  16.761   0.019   0.536   0.675  99
1025.6  1236.7  16.762   0.010   0.538   0.681  99
1370.7  1282.9  16.762   0.221   0.818   0.901  99
1042.6  1069.9  16.764   0.368   0.880   0.959  99
 998.4  1264.6  16.765  -0.016   0.512   0.677  99
 946.9  1130.8  16.767   0.003   0.590   0.733  99
